PairTag,AssayType,RecDate,RecTime,VideoFile,VideoPath,ScoreFile,ScorePath,FemaleID,FemaleGT,FemaleFam,FemaleDOB,MaleID,MaleGT,MaleFam,MaleDOB,PairDate,CohortTag,AssayStart,FocalID,FocalSex,FocalGT,AssayDuration,AssayRoom,Timeline,Ethogram,RanBy,ScoredBy,FullTimeline,FocalColor,LeftID,LeftGT,LeftSex,LeftDOB,LeftType,RightID,RightGT,RightSex,RightDOB,RightType,StrangerID,PPTlane,PartnerChamber,CameraType,FocalGTConfirmed,Pregnant
Nov22_Pair43,PPT,20230327,13:37,Nov22_Pair43_PPT_2023-03-27 13-36-46.mp4,\Scn2a_X1Behavior_Nov22\Male PPTs\03272023,Nov22_Pair43_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8130,WT,,,20230322,Scn2aX1,,B8130,M,WT,10800,,,,Gina Williams,Gina Williams,True,"[[89, 91, 125], [53, 54, 75]]",,WT,F,,Partner,,WT,F,,Stranger,,2,Left,,,
Nov22_Pair44,PPT,20230410,13:41,Nov22_Pair44_PPT_2023-04-10 13-43-18.mp4,\Scn2a_X1Behavior_Nov22\Male PPTs\04102023,Nov22_Pair44_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8144,Het,,,20230405,Scn2aX1,,B8144,M,Het,10800,,,,Gina Williams,Gina Williams,True,"[[63, 78, 245], [33, 41, 131]]",,WT,F,,Stranger,,WT,F,,Partner,,1,Right,,,
Nov22_Pair46,PPT,20230410,13:41,Nov22_Pair46_PPT_2023-04-10 13-41-26.mp4,\Scn2a_X1Behavior_Nov22\Male PPTs\04102023,Nov22_Pair46_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8150,Het,,,20230405,Scn2aX1,,B8150,M,Het,10800,,,,Gina Williams,Gina Williams,True,"[[63, 78, 245], [33, 41, 131]]",,WT,F,,Partner,,WT,F,,Stranger,,3,Left,,,
Nov22_Pair47,PPT,20230417,13:21,Nov22_Pair47_PPT_2023-04-17 13-20-05.mp4,\Scn2a_X1Behavior_Nov22\Male PPTs\04172023,Nov22_Pair47_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8159,WT,,,20230412,Scn2aX1,,B8159,M,WT,10800,,,,Gina Williams,Gina Williams,True,"[[89, 91, 125], [53, 54, 75]]",,WT,F,,Partner,,WT,F,,Stranger,,1,Left,,,
Nov22_Pair48,PPT,20230417,13:21,Nov22_Pair48_PPT_2023-04-17 13-20-07.mp4,\Scn2a_X1Behavior_Nov22\Male PPTs\04172023,Nov22_Pair48_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8162,Het,,,20230412,Scn2aX1,,B8162,M,Het,10800,,,,Gina Williams,Gina Williams,True,"[[63, 78, 245], [33, 41, 131]]",,WT,F,,Stranger,,WT,F,,Partner,,2,Right,,,
Nov22_Pair49,PPT,20230417,13:21,Nov22_Pair49_PPT_2023-04-17 13-20-13.mp4,\Scn2a_X1Behavior_Nov22\Male PPTs\04172023,Nov22_Pair49_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8163,WT,,,20230412,Scn2aX1,,B8163,M,WT,10800,,,,Gina Williams,Gina Williams,True,"[[89, 91, 125], [53, 54, 75]]",,WT,F,,Stranger,,WT,F,,Partner,,3,Right,,,
Nov22_Pair5,PPT,20221202,13:33,Nov22_Pair5_PPT_WIN_20221202_13_32_23_Pro.mp4,\Scn2a_X1Behavior_Nov22\Female PPTs\12022022,Nov22_Pair5_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8033,Het,,,,,,,20221129,Scn2aX1,,B8033,F,Het,10800,,,,Gina Williams,Gina Williams,True,"[[245, 201, 39], [147, 120, 23]]",,WT,M,,Stranger,,WT,M,,Partner,,1,Right,,,
Nov22_Pair50,PPT,20230417,13:21,Nov22_Pair50_PPT_WIN_20230417_13_20_56_Pro.mp4,\Scn2a_X1Behavior_Nov22\Male PPTs\04172023,Nov22_Pair50_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8164,Het,,,20230412,Scn2aX1,,B8164,M,Het,10800,,,,Gina Williams,Gina Williams,True,"[[63, 78, 245], [33, 41, 131]]",,WT,F,,Partner,,WT,F,,Stranger,,4,Left,,,
Nov22_Pair51,PPT,20230424,13:23,Nov22_Pair51_PPT_2023-04-24 13-22-53.mp4,\Scn2a_X1Behavior_Nov22\Male PPTs\04242023,Nov22_Pair51_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8168,WT,,,20230419,Scn2aX1,,B8168,M,WT,10800,,,,Gina Williams,Gina Williams,True,"[[89, 91, 125], [53, 54, 75]]",,WT,F,,Partner,,WT,F,,Stranger,,3,Left,,,
Nov22_Pair52,PPT,20230424,13:23,Nov22_Pair52_PPT_2023-04-24 13-24-17.mp4,\Scn2a_X1Behavior_Nov22\Male PPTs\04242023,Nov22_Pair52_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8170,Het,,,20230419,Scn2aX1,,B8170,M,Het,10800,,,,Gina Williams,Gina Williams,True,"[[63, 78, 245], [33, 41, 131]]",,WT,F,,Stranger,,WT,F,,Partner,,4,Right,,,
